CRIM,INDUS,NOX,RM,AGE,DIS,LSTAT,CAT
0.07165,25.65,0.581,6.004,84.1,2.1974,14.27,0
0.09299,25.65,0.581,5.961,92.9,2.0869,17.93,0
0.15038,25.65,0.581,5.856,97,1.9444,25.41,0
0.09849,25.65,0.581,5.879,95.8,2.0063,17.58,0
0.16902,25.65,0.581,5.986,88.4,1.9929,14.81,0
0.38735,25.65,0.581,5.613,95.6,1.7572,27.26,0
0.25915,21.89,0.624,5.693,96,1.7883,17.19,0
0.32543,21.89,0.624,6.431,98.8,1.8125,15.39,0
0.88125,21.89,0.624,5.637,94.7,1.9799,18.34,0
0.34006,21.89,0.624,6.458,98.9,2.1185,12.6,0
1.19294,21.89,0.624,6.326,97.7,2.271,12.26,0
0.59005,21.89,0.624,6.372,97.9,2.3274,11.12,0
0.32982,21.89,0.624,5.822,95.4,2.4699,15.03,0
0.97617,21.89,0.624,5.757,98.4,2.346,17.31,0
0.55778,21.89,0.624,6.335,98.2,2.1107,16.96,0
0.32264,21.89,0.624,5.942,93.5,1.9669,16.9,0
0.35233,21.89,0.624,6.454,98.4,1.8498,14.59,0
0.2498,21.89,0.624,5.857,98.2,1.6686,21.32,0
0.54452,21.89,0.624,6.151,97.9,1.6687,18.46,0
0.2909,21.89,0.624,6.174,93.6,1.6119,24.16,0
1.62864,21.89,0.624,5.019,100,1.4394,34.41,0
3.32105,19.58,0.871,5.403,100,1.3216,26.82,0
4.0974,19.58,0.871,5.468,100,1.4118,26.42,0
2.77974,19.58,0.871,4.903,97.8,1.3459,29.29,0
2.37934,19.58,0.871,6.13,100,1.4191,27.8,0
2.15505,19.58,0.871,5.628,100,1.5166,16.65,0
2.36862,19.58,0.871,4.926,95.7,1.4608,29.53,0
2.33099,19.58,0.871,5.186,93.8,1.5296,28.32,0
2.73397,19.58,0.871,5.597,94.9,1.5257,21.45,0
1.6566,19.58,0.871,6.122,97.3,1.618,14.1,0
1.49632,19.58,0.871,5.404,100,1.5916,13.28,0
1.12658,19.58,0.871,5.012,88,1.6102,12.12,0
2.14918,19.58,0.871,5.709,98.5,1.6232,15.79,0
1.41385,19.58,0.871,6.129,96,1.7494,15.12,0
3.53501,19.58,0.871,6.152,82.6,1.7455,15.02,0
2.44668,19.58,0.871,5.272,94,1.7364,16.14,0
1.22358,19.58,0.605,6.943,97.4,1.8773,4.59,1
1.34284,19.58,0.605,6.066,100,1.7573,6.43,0
1.42502,19.58,0.871,6.51,100,1.7659,7.39,0
1.27346,19.58,0.605,6.25,92.6,1.7984,5.5,0
1.46336,19.58,0.605,7.489,90.8,1.9709,1.73,1
1.83377,19.58,0.605,7.802,98.2,2.0407,1.92,1
1.51902,19.58,0.605,8.375,93.9,2.162,3.32,1
2.24236,19.58,0.605,5.854,91.8,2.422,11.64,0
2.924,19.58,0.605,6.101,93,2.2834,9.81,0
2.01019,19.58,0.605,7.929,96.2,2.0459,3.7,1
1.80028,19.58,0.605,5.877,79.2,2.4259,12.14,0
2.3004,19.58,0.605,6.319,96.1,2.1,11.1,0
2.44953,19.58,0.605,6.402,95.2,2.2625,11.32,0
1.20742,19.58,0.605,5.875,94.6,2.4259,14.43,0
2.3139,19.58,0.605,5.88,97.3,2.3887,12.03,0
0.13914,4.05,0.51,5.572,88.5,2.5961,14.69,0
0.09178,4.05,0.51,6.416,84.1,2.6463,9.04,0
0.08447,4.05,0.51,5.859,68.7,2.7019,9.64,0
0.06664,4.05,0.51,6.546,33.1,3.1323,5.33,0
0.07022,4.05,0.51,6.02,47.2,3.5549,10.11,0
0.05425,4.05,0.51,6.315,73.4,3.3175,6.29,0
0.06642,4.05,0.51,6.86,74.4,2.9153,6.92,0
0.0578,2.46,0.488,6.98,58.4,2.829,5.04,1
0.06588,2.46,0.488,7.765,83.3,2.741,7.56,1
0.06888,2.46,0.488,6.144,62.2,2.5979,9.45,1
0.09103,2.46,0.488,7.155,92.2,2.7006,4.82,1
0.10008,2.46,0.488,6.563,95.6,2.847,5.68,1
0.08308,2.46,0.488,5.604,89.8,2.9879,13.98,0
0.06047,2.46,0.488,6.153,68.8,3.2797,13.15,0
0.05602,2.46,0.488,7.831,53.6,3.1992,4.45,1
0.07875,3.44,0.437,6.782,41.1,3.7886,6.68,1
0.12579,3.44,0.437,6.556,29.1,4.5667,4.56,0
0.0837,3.44,0.437,7.185,38.9,4.5667,5.39,1
0.09068,3.44,0.437,6.951,21.5,6.4798,5.1,1
0.06911,3.44,0.437,6.739,30.8,6.4798,4.69,1
0.08664,3.44,0.437,7.178,26.3,6.4798,2.87,1
0.02187,2.93,0.401,6.8,9.9,6.2196,5.03,1
0.01439,2.93,0.401,6.604,18.8,6.2196,4.38,0
0.01381,0.46,0.422,7.875,32,5.6484,2.97,1
0.04011,1.52,0.404,7.287,34.1,7.309,4.08,1
0.04666,1.52,0.404,7.107,36.6,7.309,8.61,1
0.03768,1.52,0.404,7.274,38.3,7.309,6.62,1
0.0315,1.47,0.403,6.975,15.3,7.6534,4.56,1
0.01778,1.47,0.403,7.135,13.9,7.6534,4.45,1
0.03445,2.03,0.415,6.162,38.4,6.27,7.43,0
0.02177,2.03,0.415,7.61,15.7,6.27,3.11,1
0.0351,2.68,0.4161,7.853,33.2,5.118,3.81,1
0.02009,2.68,0.4161,8.034,31.9,5.118,2.88,1
0.13642,10.59,0.489,5.891,22.3,3.9454,10.87,0
0.22969,10.59,0.489,6.326,52.5,4.3549,10.97,0
0.25199,10.59,0.489,5.783,72.7,4.3549,18.06,0
0.13587,10.59,0.489,6.064,59.1,4.2392,14.66,0
0.43571,10.59,0.489,5.344,100,3.875,23.09,0
0.17446,10.59,0.489,5.96,92.1,3.8771,17.27,0
0.37578,10.59,0.489,5.404,88.6,3.665,23.98,0
0.21719,10.59,0.489,5.807,53.8,3.6526,16.03,0
0.14052,10.59,0.489,6.375,32.3,3.9454,9.38,0
0.28955,10.59,0.489,5.412,9.8,3.5875,29.55,0
0.19802,10.59,0.489,6.182,42.4,3.9454,9.47,0
0.0456,13.89,0.55,5.888,56,3.1121,13.51,0
0.07013,13.89,0.55,6.642,85.1,3.4211,9.69,0
0.11069,13.89,0.55,5.951,93.8,2.8893,17.92,0
0.11425,13.89,0.55,6.373,92.4,3.3633,10.5,0
0.35809,6.2,0.507,6.951,88.5,2.8617,9.71,0
0.40771,6.2,0.507,6.164,91.3,3.048,21.46,0
0.62356,6.2,0.507,6.879,77.7,3.2721,9.93,0
0.6147,6.2,0.507,6.618,80.8,3.2721,7.6,1
0.31533,6.2,0.504,8.266,78.3,2.8944,4.14,1
0.52693,6.2,0.504,8.725,83,2.8944,4.63,1
0.38214,6.2,0.504,8.04,86.5,3.2157,3.13,1
0.41238,6.2,0.504,7.163,79.9,3.2157,6.36,1
0.29819,6.2,0.504,7.686,17,3.3751,3.92,1
0.44178,6.2,0.504,6.552,21.4,3.3751,3.76,1
0.537,6.2,0.504,5.981,68.1,3.6715,11.65,0
0.46296,6.2,0.504,7.412,76.9,3.6715,5.25,1
0.57529,6.2,0.507,8.337,73.3,3.8384,2.47,1
0.33147,6.2,0.507,8.247,70.4,3.6519,3.95,1
0.44791,6.2,0.507,6.726,66.5,3.6519,8.05,0
0.33045,6.2,0.507,6.086,61.5,3.6519,10.88,0
0.52058,6.2,0.507,6.631,76.5,4.148,9.54,0
0.51183,6.2,0.507,7.358,71.6,4.148,4.73,1
0.08244,4.93,0.428,6.481,18.5,6.1899,6.36,0
0.09252,4.93,0.428,6.606,42.2,6.1899,7.37,0
0.11329,4.93,0.428,6.897,54.3,6.3361,11.38,0
0.10612,4.93,0.428,6.095,65.1,6.3361,12.4,0
0.1029,4.93,0.428,6.358,52.9,7.0355,11.22,0
0.12757,4.93,0.428,6.393,7.8,7.0355,5.19,0
0.20608,5.86,0.431,5.593,76.5,7.9549,12.5,0
0.19133,5.86,0.431,5.605,70.2,7.9549,18.46,0
0.33983,5.86,0.431,6.108,34.9,8.0555,9.16,0
0.19657,5.86,0.431,6.226,79.2,8.0555,10.15,0
0.16439,5.86,0.431,6.433,49.1,7.8265,9.52,0
0.19073,5.86,0.431,6.718,17.5,7.8265,6.56,0
0.1403,5.86,0.431,6.487,13,7.3967,5.9,0
0.21409,5.86,0.431,6.438,8.9,7.3967,3.59,0
0.08221,5.86,0.431,6.957,6.8,8.9067,3.53,0
0.36894,5.86,0.431,8.259,8.4,8.9067,3.54,1
0.04819,3.64,0.392,6.108,32,9.2203,6.57,0
0.03548,3.64,0.392,5.876,19.1,9.2203,9.25,0
0.01538,3.75,0.394,7.454,34.2,6.3361,3.11,1
0.61154,3.97,0.647,8.704,86.9,1.801,5.12,1
0.66351,3.97,0.647,7.333,100,1.8946,7.79,1
0.65665,3.97,0.647,6.842,100,2.0107,6.9,1
0.54011,3.97,0.647,7.203,81.8,2.1121,9.59,1
0.53412,3.97,0.647,7.52,89.4,2.1398,7.26,1
0.52014,3.97,0.647,8.398,91.5,2.2885,5.91,1
0.82526,3.97,0.647,7.327,94.5,2.0788,11.25,1
0.55007,3.97,0.647,7.206,91.6,1.9301,8.1,1
0.76162,3.97,0.647,5.56,62.8,1.9865,10.45,0
0.7857,3.97,0.647,7.014,84.6,2.1329,14.79,1
0.57834,3.97,0.575,8.297,67,2.4216,7.44,1
0.5405,3.97,0.575,7.47,52.6,2.872,3.16,1
0.09065,6.96,0.464,5.92,61.5,3.9175,13.65,0
0.29916,6.96,0.464,5.856,42.1,4.429,13,0
0.16211,6.96,0.464,6.24,16.3,4.429,6.59,0
0.1146,6.96,0.464,6.538,58.7,3.9175,7.73,0
0.22188,6.96,0.464,7.691,51.8,4.3665,6.58,1
0.05644,6.41,0.447,6.758,32.9,4.0776,3.53,1
0.09604,6.41,0.447,6.854,42.8,4.2673,2.98,1
0.10469,6.41,0.447,7.267,49,4.7872,6.05,1
0.06127,6.41,0.447,6.826,27.6,4.8628,4.16,1
0.07978,6.41,0.447,6.482,32.1,4.1403,7.19,0
0.21038,3.33,0.4429,6.812,32.2,4.1007,4.85,1
0.03578,3.33,0.4429,7.82,64.5,4.6947,3.76,1
0.03705,3.33,0.4429,6.968,37.2,5.2447,4.59,1
0.06129,3.33,0.4429,7.645,49.7,5.2119,3.01,1
0.01501,1.21,0.401,7.923,24.8,5.885,3.16,1
0.00906,2.97,0.4,7.088,20.8,7.3073,7.85,1
0.01096,2.25,0.389,6.453,31.9,7.3073,8.23,0
0.01965,1.76,0.385,6.23,31.5,9.0892,12.93,0
0.03871,5.32,0.405,6.209,31.3,7.3172,7.14,0
0.0459,5.32,0.405,6.315,45.6,7.3172,7.6,0
0.04297,5.32,0.405,6.565,22.9,7.3172,9.51,0
0.03502,4.95,0.411,6.861,27.9,5.1167,3.33,0
0.07886,4.95,0.411,7.148,27.7,5.1167,3.56,1
0.03615,4.95,0.411,6.63,23.4,5.1167,4.7,0
0.08265,13.92,0.437,6.127,18.4,5.5027,8.58,0
0.08199,13.92,0.437,6.009,42.3,5.5027,10.4,0
0.12932,13.92,0.437,6.678,31.1,5.9604,6.27,0
0.05372,13.92,0.437,6.549,51,5.9604,7.39,0
0.14103,13.92,0.437,5.79,58,6.32,15.84,0
0.06466,2.24,0.4,6.345,20.1,7.8278,4.97,0
0.05561,2.24,0.4,7.041,10,7.8278,4.74,0
0.04417,2.24,0.4,6.871,47.4,7.8278,6.07,0
0.03537,6.09,0.433,6.59,40.4,5.4917,9.5,0
0.09266,6.09,0.433,6.495,18.4,5.4917,8.67,0
0.1,6.09,0.433,6.982,17.7,5.4917,4.86,1
0.05515,2.18,0.472,7.236,41.1,4.022,6.93,1
0.05479,2.18,0.472,6.616,58.1,3.37,8.93,0
0.07503,2.18,0.472,7.42,71.9,3.0992,6.47,1
0.04932,2.18,0.472,6.849,70.3,3.1827,7.53,0
0.49298,9.9,0.544,6.635,82.5,3.3175,4.54,0
0.3494,9.9,0.544,5.972,76.7,3.1025,9.97,0
2.63548,9.9,0.544,4.973,37.8,2.5194,12.64,0
0.79041,9.9,0.544,6.122,52.8,2.6403,5.98,0
0.26169,9.9,0.544,6.023,90.4,2.834,11.72,0
0.26938,9.9,0.544,6.266,82.8,3.2628,7.9,0
0.3692,9.9,0.544,6.567,87.3,3.6023,9.28,0
0.25356,9.9,0.544,5.705,77.7,3.945,11.5,0
0.31827,9.9,0.544,5.914,83.2,3.9986,18.33,0
0.24522,9.9,0.544,5.782,71.7,4.0317,15.94,0
0.40202,9.9,0.544,6.382,67.2,3.5325,10.36,0
0.47547,9.9,0.544,6.113,58.8,4.0019,12.73,0
0.1676,7.38,0.493,6.426,52.3,4.5404,7.2,0
0.18159,7.38,0.493,6.376,54.3,4.5404,6.87,0
0.35114,7.38,0.493,6.041,49.9,4.7211,7.7,0
0.28392,7.38,0.493,5.708,74.3,4.7211,11.74,0
0.34109,7.38,0.493,6.415,40.1,4.7211,6.12,0
0.19186,7.38,0.493,6.431,14.7,5.4159,5.08,0
0.30347,7.38,0.493,6.312,28.9,5.4159,6.15,0
0.24103,7.38,0.493,6.083,43.7,5.4159,12.79,0
0.06617,3.24,0.46,5.868,25.8,5.2146,9.97,0
0.06724,3.24,0.46,6.333,17.2,5.2146,7.34,0
0.04544,3.24,0.46,6.144,32.2,5.8736,9.09,0
0.05023,6.06,0.4379,5.706,28.4,6.6407,12.43,0
0.03466,6.06,0.4379,6.031,23.3,6.6407,7.83,0
0.05083,5.19,0.515,6.316,38.1,6.4584,5.68,0
0.03738,5.19,0.515,6.31,38.5,6.4584,6.75,0
0.03961,5.19,0.515,6.037,34.5,5.9853,8.01,0
0.03427,5.19,0.515,5.869,46.3,5.2311,9.8,0
0.03041,5.19,0.515,5.895,59.6,5.615,10.56,0
0.03306,5.19,0.515,6.059,37.3,4.8122,8.51,0
0.05497,5.19,0.515,5.985,45.4,4.8122,9.74,0
0.06151,5.19,0.515,5.968,58.5,4.8122,9.29,0
0.01301,1.52,0.442,7.241,49.3,7.0379,5.49,1
0.02498,1.89,0.518,6.54,59.7,6.2669,8.65,0
0.02543,3.78,0.484,6.696,56.4,5.7321,7.18,0
0.03049,3.78,0.484,6.874,28.1,6.4654,4.61,1
0.03113,4.39,0.442,6.014,48.5,8.0136,10.53,0
0.06162,4.39,0.442,5.898,52.3,8.0136,12.67,0
0.0187,4.15,0.429,6.516,27.7,8.5353,6.36,0
0.01501,2.01,0.435,6.635,29.7,8.344,5.99,0
0.02899,1.25,0.429,6.939,34.5,8.7921,5.89,0
0.06211,1.25,0.429,6.49,44.4,8.7921,5.98,0
0.0795,1.69,0.411,6.579,35.9,10.7103,5.49,0
0.07244,1.69,0.411,5.884,18.5,10.7103,7.79,0
0.01709,2.02,0.41,6.728,36.1,12.1265,4.5,1
0.04301,1.91,0.413,5.663,21.9,10.5857,8.05,0
0.10659,1.91,0.413,5.936,19.5,10.5857,5.57,0
8.98296,18.1,0.77,6.212,97.4,2.1222,17.6,0
3.8497,18.1,0.77,6.395,91,2.5052,13.27,0
5.20177,18.1,0.77,6.127,83.4,2.7227,11.48,0
4.26131,18.1,0.77,6.112,81.3,2.5091,12.67,0
4.54192,18.1,0.77,6.398,88,2.5182,7.79,0
3.83684,18.1,0.77,6.251,91.1,2.2955,14.19,0
3.67822,18.1,0.77,5.362,96.2,2.1036,10.19,0
4.22239,18.1,0.77,5.803,89,1.9047,14.64,0
3.47428,18.1,0.718,8.78,82.9,1.9047,5.29,0
4.55587,18.1,0.718,3.561,87.9,1.6132,7.12,0
3.69695,18.1,0.718,4.963,91.4,1.7523,14,0
13.5222,18.1,0.631,3.863,100,1.5106,13.33,0
4.89822,18.1,0.631,4.97,100,1.3325,3.26,1
5.66998,18.1,0.631,6.683,96.8,1.3567,3.73,1
6.53876,18.1,0.631,7.016,97.5,1.2024,2.96,1
9.2323,18.1,0.631,6.216,100,1.1691,9.53,1
8.26725,18.1,0.668,5.875,89.6,1.1296,8.88,1
11.1081,18.1,0.668,4.906,100,1.1742,34.77,0
18.4982,18.1,0.668,4.138,100,1.137,37.97,0
19.6091,18.1,0.671,7.313,97.9,1.3163,13.44,0
15.288,18.1,0.671,6.649,93.3,1.3449,23.24,0
9.82349,18.1,0.671,6.794,98.8,1.358,21.24,0
23.6482,18.1,0.671,6.38,96.2,1.3861,23.69,0
17.8667,18.1,0.671,6.223,100,1.3861,21.78,0
88.9762,18.1,0.671,6.968,91.9,1.4165,17.21,0
15.8744,18.1,0.671,6.545,99.1,1.5192,21.08,0
9.18702,18.1,0.7,5.536,100,1.5804,23.6,0
7.99248,18.1,0.7,5.52,100,1.5331,24.56,0
20.0849,18.1,0.7,4.368,91.2,1.4395,30.63,0
16.8118,18.1,0.7,5.277,98.1,1.4261,30.81,0
24.3938,18.1,0.7,4.652,100,1.4672,28.28,0
22.5971,18.1,0.7,5,89.5,1.5184,31.99,0
14.3337,18.1,0.7,4.88,100,1.5895,30.62,0
8.15174,18.1,0.7,5.39,98.9,1.7281,20.85,0
6.96215,18.1,0.7,5.713,97,1.9265,17.11,0
5.29305,18.1,0.7,6.051,82.5,2.1678,18.76,0
11.5779,18.1,0.7,5.036,97,1.77,25.68,0
8.64476,18.1,0.693,6.193,92.6,1.7912,15.17,0
13.3598,18.1,0.693,5.887,94.7,1.7821,16.35,0
8.71675,18.1,0.693,6.471,98.8,1.7257,17.12,0
5.87205,18.1,0.693,6.405,96,1.6768,19.37,0
7.67202,18.1,0.693,5.747,98.9,1.6334,19.92,0
38.3518,18.1,0.693,5.453,100,1.4896,30.59,0
9.91655,18.1,0.693,5.852,77.8,1.5004,29.97,0
25.0461,18.1,0.693,5.987,100,1.5888,26.77,0
14.2362,18.1,0.693,6.343,100,1.5741,20.32,0
9.59571,18.1,0.693,6.404,100,1.639,20.31,0
24.8017,18.1,0.693,5.349,96,1.7028,19.77,0
41.5292,18.1,0.693,5.531,85.4,1.6074,27.38,0
67.9208,18.1,0.693,5.683,100,1.4254,22.98,0
20.7162,18.1,0.659,4.138,100,1.1781,23.34,0
11.9511,18.1,0.659,5.608,100,1.2852,12.13,0
7.40389,18.1,0.597,5.617,97.9,1.4547,26.4,0
14.4383,18.1,0.597,6.852,100,1.4655,19.78,0
51.1358,18.1,0.597,5.757,100,1.413,10.11,0
14.0507,18.1,0.597,6.657,100,1.5275,21.22,0
18.811,18.1,0.597,4.628,100,1.5539,34.37,0
28.6558,18.1,0.597,5.155,100,1.5894,20.08,0
45.7461,18.1,0.693,4.519,100,1.6582,36.98,0
18.0846,18.1,0.679,6.434,100,1.8347,29.05,0
10.8342,18.1,0.679,6.782,90.8,1.8195,25.79,0
25.9406,18.1,0.679,5.304,89.1,1.6475,26.64,0
73.5341,18.1,0.679,5.957,100,1.8026,20.62,0
11.8123,18.1,0.718,6.824,76.5,1.794,22.74,0
11.0874,18.1,0.718,6.411,100,1.8589,15.02,0
7.02259,18.1,0.718,6.006,95.3,1.8746,15.7,0
12.0482,18.1,0.614,5.648,87.6,1.9512,14.1,0
7.05042,18.1,0.614,6.103,85.1,2.0218,23.29,0
8.79212,18.1,0.584,5.565,70.6,2.0635,17.16,0
15.8603,18.1,0.679,5.896,95.4,1.9096,24.39,0
12.2472,18.1,0.584,5.837,59.7,1.9976,15.69,0
37.6619,18.1,0.679,6.202,78.7,1.8629,14.52,0
7.36711,18.1,0.679,6.193,78.1,1.9356,21.52,0
9.33889,18.1,0.679,6.38,95.6,1.9682,24.08,0
8.49213,18.1,0.584,6.348,86.1,2.0527,17.64,0
10.0623,18.1,0.584,6.833,94.3,2.0882,19.69,0
6.44405,18.1,0.584,6.425,74.8,2.2004,12.03,0
5.58107,18.1,0.713,6.436,87.9,2.3158,16.22,0
13.9134,18.1,0.713,6.208,95,2.2222,15.17,0
11.1604,18.1,0.74,6.629,94.6,2.1247,23.27,0
14.4208,18.1,0.74,6.461,93.3,2.0026,18.05,0
15.1772,18.1,0.74,6.152,100,1.9142,26.45,0
13.6781,18.1,0.74,5.935,87.9,1.8206,34.02,0
9.39063,18.1,0.74,5.627,93.9,1.8172,22.88,0
22.0511,18.1,0.74,5.818,92.4,1.8662,22.11,0
9.72418,18.1,0.74,6.406,97.2,2.0651,19.52,0
